,Product URL,Product Name,Product Price,Rating,Number of reviews
47,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODUzNTAzODIyNjE3NTA6MTY3OTMyMTYwODpzcF9tdGY6MjAxMTc3OTU4NzQ1OTg6OjA6Og&url=%2FMokobara-Backpack-Leather-Resistant-Laptop%2Fdp%2FB0B7X81X69%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679321608%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","6,999",4.4,(20)
48,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-46,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",599,3.8,(679)
49,https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-47,F Gear String 11 Ltrs Nylon Black Gym Bag,189,4.0,(436)
50,https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-48,Lenovo Casual Laptop Briefcase T210 (Toploader) 39.62 cm (15.6-inch) Water Repellent Black,799,4.2,"(54,718)"
51,https://www.amazon.in/F-Gear-Enzo-Black-Blue-Waist-Bag/dp/B0862LXJYT/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-49,F Gear Enzo Sports Waist Bag (.Black Blue),200,4.2,"(1,111)"
52,https://www.amazon.in/ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-50,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),499,3.8,(564)
53,https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-51,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),811,4.2,"(1,533)"
54,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-52,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,799,4.0,"(10,753)"
55,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODUzNTAzODIyNjE3NTA6MTY3OTMyMTYwODpzcF9idGY6MjAxMTE4MjUyMjc5OTg6OjA6Og&url=%2FGenie-Clara-Backpack-Women-compartments%2Fdp%2FB097JJGR1N%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679321608%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,025",4.2,(56)
56,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDY4OTQ4ODQ0MzA4NTI1OjE2NzkzMjIyMTA6c3BfYXRmX25leHQ6MjAxMTc3OTU4NzQ0OTg6OjA6Og&url=%2FMokobara-Backpack-Leather-Resistant-College%2Fdp%2FB09WVGDV1V%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679322210%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA2ZJIE4OXD710M,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,499",4.3,(152)
